latitude,longitude,Severity,Hour,Lane
37.77638173,-122.4262464,0,4,No
37.79021873,-122.4206146,0,12,Yes
37.76297176,-122.4285167,0,17,No
37.77305345,-122.4186182,1,6,No
37.76502803,-122.4200548,0,13,Yes
37.73959403,-122.4069932,1,12,Yes
37.76400083,-122.5103413,0,16,Yes
37.77188564,-122.4233968,1,8,Yes
37.75342927,-122.4207869,2,10,Yes
37.73912042,-122.4239312,1,13,No
37.79573711,-122.4234131,1,19,Yes
37.77832856,-122.4266415,0,7,Yes
37.75050583,-122.420507,0,10,No
37.77993559,-122.5067217,1,11,Yes
37.77011145,-122.4200083,1,19,No
37.78047585,-122.4761692,0,18,No
37.77074775,-122.4248526,2,7,No
37.78896296,-122.3965708,1,16,No
37.7767126,-122.4173516,0,9,Yes
37.73606117,-122.4244663,0,18,No
