case,latitude,longitude,collision_time
2885903,37.72214305,-122.433906,06:30
2885911,37.77623082,-122.4115942,13:15
2892082,37.76953305,-122.4506552,12:44
2892103,37.77074775,-122.4248526,20:30
2892118,37.76478103,-122.4025634,09:12
2892151,37.72634147,-122.4085416,17:25
2894326,37.72877994,-122.389935,08:14
2894338,37.76316782,-122.4239592,21:37
2894342,37.76273508,-122.412887,08:49
2896253,37.73448353,-122.4296612,09:30
2896537,37.76971451,-122.4049902,08:35
2898423,37.77575013,-122.4529638,10:15
2898446,37.7697347,-122.4245811,06:05
2900409,37.7851265,-122.4635346,15:58
2915533,37.77188564,-122.4233968,12:00
4340598,37.7781918,-122.4140816,09:20
2915541,37.78168184,-122.4015933,16:48
2915585,37.72509445,-122.4379336,08:06
