cnn_sgmt_pkey,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,cyc_ntwrk_yn,speed_limit,pk_metered_cnt,pk_on_st_cnt,oneway_yn,daily_ride_qrt,facility_type,surface_type,sharrow,Cluster_x,Cluster_y,Score_y2,Scale_Score_y2
5392000,20204000,20237000,NO,25.0,0.0,45.0,NO,32894.0,missing,missing,missing,4.0,5.0,0.0001321194202456615,56.03593649756647
5393000,20238000,20242000,NO,25.0,0.0,0.0,NO,33174.0,missing,missing,missing,1.0,5.0,0.00018098771736513487,58.84766603626218
5394000,22668000,22746000,NO,15.0,3.0,0.0,NO,1552.0,missing,missing,missing,5.0,6.0,0.003177791324326262,84.44810606158961
5395000,22746000,22752000,NO,25.0,0.0,0.0,NO,2187.0,missing,missing,missing,6.0,5.0,0.0012023855798660662,75.7653570741228
5396000,21843000,21847000,NO,25.0,0.0,0.0,NO,81539.0,missing,missing,missing,5.0,0.0,0.00023304606279613105,61.10623910838393
5406000,21592000,22472000,NO,25.0,0.0,0.0,NO,6257.0,missing,missing,missing,0.0,2.0,0.0006050166334803165,69.6294359668385
5407000,22472000,22473000,NO,15.0,0.0,0.0,NO,7164.0,missing,missing,missing,2.0,6.0,0.004152043956893836,86.8371811288586
5409000,23912000,50053000,NO,25.0,0.0,0.0,NO,27184.0,missing,missing,missing,4.0,3.0,0.0001851607647740641,59.05131865654842
5428000,22655000,33610000,NO,25.0,2.0,0.0,NO,4875.0,missing,missing,missing,0.0,1.0,0.00033186490344285733,64.26432919383117
5429000,33610000,33609000,NO,25.0,0.0,11.0,NO,4893.0,missing,missing,missing,1.0,5.0,0.0005746077666655078,69.16872576031137
5430000,33610000,22656000,NO,25.0,0.0,0.0,NO,4875.0,missing,missing,missing,1.0,0.0,0.000662703384090986,70.44306768562267
5448000,26038000,26039000,NO,30.0,0.0,0.0,YES,80654.0,missing,missing,missing,3.0,2.0,0.00016055525905456556,57.777455346984596
5449000,26039000,26030000,NO,30.0,0.0,0.0,YES,80496.0,missing,missing,missing,2.0,5.0,0.00016807718413485538,58.18649889044174
5450000,26030000,26050000,YES,30.0,5.0,23.0,YES,60400.0,BIKE LANE,GREEN PAINT,NO,5.0,5.0,9.637457336373313e-05,53.21758821126052
5451000,26050000,26058000,YES,30.0,5.0,29.0,YES,58289.0,BIKE LANE,GREEN PAINT,NO,5.0,3.0,8.98379435032447e-05,52.59011004587771
5452000,26058000,26350000,YES,30.0,0.0,32.0,YES,58593.0,BIKE LANE,GREEN PAINT,NO,3.0,3.0,0.00018735884377830443,59.15675111097259
5453000,26350000,26354000,NO,30.0,0.0,38.0,YES,53318.0,missing,missing,missing,3.0,5.0,0.00012215706943088467,55.33552526298334
5454000,26354000,26349000,NO,30.0,0.0,41.0,YES,66221.0,missing,missing,missing,5.0,6.0,0.00016060898347235964,57.78044430388054
